sinav_turu;alt_sinav;ders;konu;soru_metni;a_sikki;b_sikki;c_sikki;d_sikki;e_sikki;dogru_cevap;zorluk_seviyesi
YKS;TYT;Matematik;Sayı Kümeleri;Rakamları birbirinden farklı üç basamaklı en küçük doğal sayı kaçtır?;100;102;123;987;101;B;Kolay
YKS;TYT;Matematik;Basit Eşitsizlikler;-3 < x < 5 olduğuna göre x kare ifadesinin alabileceği en büyük tam sayı değeri kaçtır?;9;16;24;25;26;C;Orta
YKS;TYT;Türkçe;Sözcük Öbekleri;Aşağıdaki cümlelerin hangisinde "göz ardı etmek" deyimi anlamca doğru kullanılmıştır?;Tüm uyarıları göz ardı ederek bildiğini okudu;Onu karşısında görünce sevinçten göz ardı etti;Kitapları dikkatlice inceleyip göz ardı etti;Sınavı kazanmak için her şeyi göz ardı etti;Derslerine çok çalışarak konuyu göz ardı etti;A;Kolay
YKS;TYT;Türkçe;Cümlede Anlam;Aşağıdaki cümlelerin hangisinde bir "olasılık (ihtimal)" söz konusudur?;Bu akşam yağmur yağabilir , şemsiyeni yanına al;Ödevlerini zamanında bitirmek zorundasın;Dün akşam sinemaya gitmekten vazgeçtik;Sınav soruları geçen yıla göre çok zordu;Yarın sabah erkenden yola çıkacağız;A;Kolay
YKS;TYT;Fizik;Basınç;Katı bir cismin dik kesit alanı yarıya indirilirse zemine uyguladığı basınç nasıl değişir?;Yarıya düşer;Değişmez;2 katına çıkar;4 katına çıkar;Sıfır olur;C;Kolay
YKS;TYT;Kimya;Asitler ve Bazlar;Oda sıcaklığında (25 santigrat derecede) sulu bir çözeltinin pH değeri 3 ise bu çözelti hangi özelliktedir?;Asidiktir;Baziktir;Nötrdür;Amfoterdir;Tuzdur;A;Kolay
YKS;TYT;Biyoloji;Hücre Zarından Madde Geçişleri;Hücre zarından madde geçişleri sırasında moleküllerin çok yoğun ortamdan az yoğun ortama ATP harcanmadan geçmesine ne ad verilir?;Aktif Taşıma;Difüzyon;Endositoz;Eksositoz;Fagositoz;B;Kolay
YKS;TYT;Tarih;Osmanlı Duraklama Dönemi;Osmanlı Devleti'nde XVII. yüzyılda başkent İstanbul'da yeniçeriler tarafından çıkarılan isyanlara ne ad verilir?;Celali İsyanları;Merkez (İstanbul) İsyanları;Suhte İsyanları;Eyalet İsyanları;Baba Zünnun İsyanı;B;Orta
YKS;TYT;Coğrafya;Yerin Yapısı;Yer kabuğunun en üstünde yer alan ve üzerinde yaşadığımız katmana ne ad verilir?;Sial (Granitik kabuk);Sima (Bazaltik kabuk);Manto;Dış Çekirdek;İç Çekirdek;A;Kolay
YKS;AYT;Matematik;Polinomlar;P(x) = x^3 - 2x^2 + 4x - 1 polinomunun x - 1 ile bölümünden kalan kaçtır?;1;2;3;4;5;B;Kolay
YKS;AYT;Matematik;Logaritma;log_2(32) ifadesinin değeri aşağıdakilerden hangisine eşittir?;2;3;4;5;6;D;Kolay
YKS;AYT;Matematik;Trigonometri;Aşağıdakilerden hangisi sin(90) ifadesinin değerine eşittir?;0;1;-1;1/2;Kök 3 / 2;B;Kolay
YKS;AYT;Matematik;Geometri;Bir çemberde teğet doğrusu değme noktasında yarıçapa nasıldır?;Paraleldir;Diktir;Çakışıktır;Eğiktir;Bağımsızdır;B;Kolay
YKS;AYT;Fizik;Elektriksel Potansiyel;Yüklü bir cismin çevresindeki bir noktada oluşturduğu elektriksel potansiyelin birimi nedir?;Newton;Volt;Amper;Ohm;Farad;B;Kolay
YKS;AYT;Fizik;İndüksiyon Akımı;Bir devrede manyetik akının değişimi sonucunda oluşan elektrik akımına ne ad verilir?;Doğru akım;Alternatif akım;İndüksiyon akımı;Öz-indüksiyon akımı;Statik akım;C;Kolay
YKS;AYT;Kimya;Kimya ve Enerji;Bir kimyasal tepkimenin sabit basınç altında dışarıya verdiği veya dışarıdan aldığı ısı miktarına ne ad verilir?;Entalpi;Entropi;Aktivasyon enerjisi;Katalizör etkisi;İç enerji;A;Kolay
YKS;AYT;Kimya;Sulu Çözelti Dengeleri;Sulu çözeltilerde hidrojen iyonu (H+) veren maddelere Arrhenius'a göre ne ad verilir?;Asit;Baz;Tuz;Oksit;Hidrit;A;Kolay
