sinav_turu;alt_sinav;ders;konu;soru_metni;a_sikki;b_sikki;c_sikki;d_sikki;e_sikki;dogru_cevap;zorluk_seviyesi
YKS;TYT;Matematik;Mutlak Değer;|x - 3| = 5 denklemini sağlayan x değerlerinin toplamı kaçtır?;2;4;6;8;10;C;Kolay
YKS;TYT;Matematik;Rasyonel Sayılar;(1/2 + 1/3) / (1/2 - 1/3) işleminin sonucu kaçtır?;1;2;3;5;6;E;Kolay
YKS;TYT;Türkçe;Ses Bilgisi;"Alnına düşen saçları yavaşça geriye doğru taradı." cümlesinde hangi ses olayı vardır?;Ünlü düşmesi;Ünsüz yumuşaması;Ünsüz türemesi;Ünlü daralması;Ünsüz düşmesi;A;Kolay
YKS;TYT;Türkçe;Noktalama İşaretleri;Aşağıdaki cümlelerin hangisinde kesme işareti (') yanlış kullanılmıştır?;Ankara'da bugün hava çok sıcak;TBMM'nin yeni başkanı seçildi;Türk Dil Kurumu'nun binası çok eski;Ahmet'in kitabı masada kalmış;2026'da üniversiteden mezun olacak;C;Orta
YKS;TYT;Fizik;Optik;Işığın saydam bir ortamdan başka bir saydam ortama geçerken doğrultu değiştirmesine ne ad verilir?;Yansıma;Kırılma;Girişim;Kırınım;Aydınlanma;B;Kolay
YKS;TYT;Kimya;Maddenin Halleri;Katı haldeki bir maddenin dışarıdan ısı alarak doğrudan gaz haline geçmesi olayına ne ad verilir?;Erime;Buharlaşma;Süblimleşme;Kırağılaşma;Yoğuşma;C;Kolay
YKS;TYT;Biyoloji;Hücre Organelleri;Bitki hücrelerinde fotosentez reaksiyonlarının gerçekleştiği ve yeşil renk veren organel hangisidir?;Mitokondri;Kloroplast;Lizozom;Ribozom;Sentrozom;B;Kolay
YKS;TYT;Tarih;Milli Mücadele Dönemi;Milli Mücadele'nin amaç , gerekçe ve yönteminin ilk kez belirtildiği tarihi belge hangisidir?;Amasya Genelgesi;Erzurum Kongresi;Sivas Kongresi;Havza Genelgesi;Misak-ı Milli;A;Kolay
YKS;TYT;Coğrafya;Nüfus Coğrafyası;Bir ülkede doğum oranlarının azalması ve ortalama ömrün uzaması aşağıdakilerden hangisine yol açar?;Genç nüfusun artmasına;Yaşlı nüfus oranının artmasına;Nüfus yoğunluğunun azalmasına;Bağımlı çocuk nüfusunun artmasına;Okuma yazma oranının düşmesine;B;Kolay
YKS;AYT;Matematik;Limit;f(x) = 2x + 5 fonksiyonunun x 3'e giderken limit değeri kaçtır?;5;8;11;14;17;C;Kolay
YKS;AYT;Matematik;Türev;f(x) = x^3 fonksiyonunun x'e göre birinci türevi aşağıdakilerden hangisidir?;3x;x^2;3x^2;2x^3;3;C;Kolay
YKS;AYT;Matematik;İntegral;Belirsiz integral içinde (2x) dx ifadesinin eşiti aşağıdakilerden hangisidir?;x^2 + c;2x^2 + c;x + c;2 + c;x^3 + c;A;Orta
YKS;AYT;Matematik;Geometri;Analitik düzlemde eğimleri çarpımı -1 olan iki doğrunun birbirine göre durumu nasıldır?;Paraleldir;Diktir;Çakışıktır;Eğiktir;Bağımsızdır;B;Kolay
YKS;AYT;Fizik;Düzgün Çembersel Hareket;Düzgün çembersel hareket yapan bir cismin birim zamandaki tur sayısına ne ad verilir?;Periyot;Frekans;Açısal hız;Çizgisel hız;Merkezcil ivme;B;Kolay
