sinav_turu;alt_sinav;ders;konu;soru_metni;a_sikki;b_sikki;c_sikki;d_sikki;e_sikki;dogru_cevap;zorluk_seviyesi
YKS;YDT;İngilizce;Grammar;She --- English for five years before she finally moved to London.;is studying;studies;has been studying;had been studying;will study;D;Orta
YKS;YDT;İngilizce;Vocabulary;The sudden change in the weather had a negative --- on the agricultural production.;affect;effect;effective;affective;efficient;B;Kolay
YKS;YDT;İngilizce;Reading Comprehension;Which of the following can be inferred about global warming according to recent studies?;It has stopped completely;It affects only polar regions;It is primarily driven by human activities;It has no economic consequences;It is a completely natural cycle;C;Kolay
YKS;YDT;İngilizce;Grammar;If I --- more time yesterday, I would have finished the project on time.;have;had;had had;would have;have had;C;Orta
YKS;YDT;İngilizce;Vocabulary;The manager decided to --- the meeting until next Tuesday due to a scheduling conflict.;postpone;cancel;accelerate;maintain;approve;A;Kolay
YKS;YDT;İngilizce;Prepositions;He is deeply interested --- ancient history and spends his weekends reading historical books.;at;in;on;with;for;B;Kolay
YKS;YDT;İngilizce;Phrasal Verbs;The plane managed to --- safely despite the heavy rain and strong winds.;take off;give up;bring about;look after;turn down;A;Kolay
YKS;YDT;İngilizce;Grammar;By the time the guests arrive, my mother --- cooking the dinner.;finishes;will finish;will have finished;has finished;is finishing;C;Orta
YKS;YDT;İngilizce;Vocabulary;The doctor stated that regular exercise is highly --- for cardiovascular health.;harmful;beneficial;redundant;prejudice;destructive;B;Kolay
YKS;YDT;İngilizce;Grammar;The book --- was written by a famous novelist became a bestseller within a week.;who;whose;which;where;when;C;Kolay
YKS;YDT;İngilizce;Dialogue Completion;Jack: Are you coming to the party tonight? - Mary: --- I have a huge exam tomorrow.;I would love to, but I can't;Yes, definitely;Sure, why not;I don't care;That sounds great;A;Kolay
YKS;YDT;İngilizce;Sentence Completion;Although he studied extremely hard for the final exam, ---.;he managed to get the highest score;he couldn't pass it with a good grade;he was very confident;his parents were proud of him;he celebrated his success;B;Kolay
YKS;YDT;İngilizce;Grammar;Active citizens are expected to avoid --- laws that protect the society.;breaking;to break;break;having broken;to be broken;A;Orta
YKS;YDT;İngilizce;Vocabulary;Due to the economic crisis, many small businesses were forced to close down ---.;permanently;temporarily;accidentally;willingly;mutually;A;Orta
YKS;YDT;İngilizce;Translation;"Scientists have developed a new drug against cancer." cümlesinin doğru Türkçe karşılığı hangisidir?;Bilim insanları kansere karşı yeni bir ilaç geliştiriyorlar;Bilim insanları kansere karşı yeni bir ilaç geliştirdiler;Kansere karşı yeni bir ilaç bilim insanları tarafından geliştirilecek;Bilim insanları kanser ilacını dün buldular;Yeni ilaç bilim insanları için geliştirildi;B;Kolay
YKS;TYT;Felsefe;Felsefenin Anlamı;Felsefe sözcüğü köken olarak Yunanca philia ve sophia kelimelerinin birleşiminden oluşur. Buna göre felsefenin kelime anlamı nedir?;Doğru bilgi;Varlık bilgisi;Bilgelik sevgisi;Derin düşünme;Evrensel sorgulama;C;Kolay
YKS;TYT;Felsefe;Bilgi Felsefesi;Doğru bilginin imkansız olduğunu savunan ve her şeyden şüphe eden felsefi akım aşağıdakilerden hangisidir?;Rasyonalizm;Empirizm;Skeptisizm (Şüphecilik);Kritizizm;Pozitivizm;C;Kolay
YKS;TYT;Felsefe;Varlık Felsefesi;Varlığın temelinde ide'lerin (düşüncelerin) yer aldığını ve dış dünyanın bunun bir yansıması olduğunu savunan felsefi yaklaşım hangisidir?;Materyalizm;İdealizm;Nihilizm;Pragmatizm;Egzistansiyalizm;B;Kolay
YKS;TYT;Felsefe;Ahlak Felsefesi;Ahlaki eylemin amacının ödev olduğunu ve eylemlerin hiçbir çıkar gözetmeksizin yapılması gerektiğini savunan ünlü filozof kimdir?;Aristoteles;Platon;Immanuel Kant;Epiküros;Jean-Paul Sartre;C;Kolay
YKS;TYT;Felsefe;Siyaset Felsefesi;Devletin yapay bir kurum olduğunu ve insanların doğa durumundan kurtulmak için bir toplumsal sözleşme ile devleti kurduğunu savunan düşünür kimdir?;Platon;Aristoteles;Thomas Hobbes;Farabi;Hegel;C;Orta
YKS;TYT;Felsefe;Bilgi Felsefesi;İnsan zihninin doğuştan boş bir levha (Tabula Rasa) olduğunu ve tüm bilgilerin deneyimlerle kazanıldığını savunan akım hangisidir?;Rasyonalizm;Empirizm;Kritizizm;Entüisyonizm;Pozitivizm;B;Kolay
YKS;AYT;Felsefe;Sanat Felsefesi;Sanatı doğanın birebir taklidi (mimesis) olarak gören felsefi yaklaşım aşağıdakilerden hangisidir?;Oyun olarak sanat;Yaratma olarak sanat;Taklit olarak sanat;İfade olarak sanat;Sezgi olarak sanat;C;Kolay
YKS;AYT;Felsefe;Bilim Felsefesi;Bilimi bilim adamları topluluğunun bir etkinliği olarak gören ve Paradigma kavramını ortaya atan bilim düşünürü kimdir?;Karl Popper;Thomas Kuhn;Hans Reichenbach;Francis Bacon;Galileo;B;Orta
YKS;AYT;Felsefe;Din Felsefesi;Evreni yaratan bir Tanrı'nın olduğunu ancak Tanrı'nın evreni yarattıktan sonra ona müdahale etmediğini savunan felsefi görüş hangisidir?;Teizm;Deizm;Ateizm;Agnostisizm;Panteizm;B;Kolay
YKS;AYT;Felsefe;Varlık Felsefesi;"Varoluş özden önce gelir" diyerek Varoluşçuluk (Egzistansiyalizm) akımının felsefi temellerini atan filozof kimdir?;Nietzsche;Jean-Paul Sartre;Heidegger;Karl Marx;Immanuel Kant;B;Kolay
YKS;AYT;Felsefe Grubu;Psikolojinin Ekolleri;Psikolojinin konusunun sadece gözlenebilen ve ölçülebilen insan davranışları olması gerektiğini savunan psikolojik yaklaşım hangisidir?;Psikanalitik;Davranışçılık (Bihevyorizm);Hümanistik;Bilişsel;Gestalt;B;Kolay
YKS;AYT;Felsefe Grubu;Öğrenme Psikolojisi;Organizmanın kendiliğinden yaptığı bir davranışın ardından ödül almasıyla o davranışı tekrarlama eğiliminin artmasına ne ad verilir?;Klasik Koşullanma;Edimsel Koşullanma;Gözlem Yoluyla Öğrenme;İçgörüsel Öğrenme;Farkında Olmadan Öğrenme;B;Orta
YKS;AYT;Felsefe Grubu;Sosyal Psikoloji;Bireyin, içinde bulunduğu grubun normlarına, beklentilerine ve baskısına uyarak davranışlarını değiştirmesine ne ad verilir?;Sosyal kolaylaştırma;Sosyal kaytarma;Grup düşünmesi;Uyma (İtaat);Liderlik;D;Kolay
YKS;AYT;Felsefe Grubu;Sosyolojiye Giriş;Sosyoloji kavramını dünyada ilk kez kullanan ve sosyolojinin kurucusu kabul edilen Fransız düşünür kimdir?;Karl Marx;Emile Durkheim;Auguste Comte;Max Weber;İbn-i Haldun;C;Kolay
YKS;AYT;Felsefe Grubu;Toplumsal Kurumlar;Bireylerin toplum içinde işgal ettikleri konumlara bağlı olarak toplumun onlardan beklediği davranış kalıplarına ne ad verilir?;Toplumsal statü;Toplumsal rol;Toplumsal prestij;Toplumsal norm;Toplumsal değer;B;Kolay
YKS;AYT;Felsefe Grubu;Kültür Sosyolojisi;Bir toplumun maddi unsurları ile manevi unsurları arasındaki değişim hızı farkından doğan toplumsal uyumsuzluğa ne ad verilir?;Kültürleşme;Kültürel gecikme;Kültür şoku;Kültürel asimilasyon;Kültürel emperyalizm;B;Orta
YKS;AYT;Felsefe Grubu;Mantığa Giriş;Doğru düşünmenin ilkelerinden biri olan ve "Bir şey aynı zamanda hem kendisi hem de kendisinden başka bir şey olamaz" diyen ilke hangisidir?;Özdeşlik İlkesi;Çelişmezlik İlkesi;Üçüncü Halin İmkansızlığı;Yeter Sebep İlkesi;Tümdengelim İlkesi;B;Kolay
YKS;AYT;Felsefe Grubu;Klasik Mantık;"Bütün insanlar ölümlüdür, Sokrates bir insandır, O halde Sokrates ölümlüdür." biçimindeki genelden özele yapılan akıl yürütme yöntemi hangisidir?;Tümevarım;Tümdengelim (Dedüksiyon);Analoji;Kıyas;Döngüsellik;B;Kolay
YKS;AYT;Felsefe Grubu;Klasik Mantık;Mantık biliminin kurucusu ve ilk kurallarını sistemleştiren ilk çağ filozofu aşağıdakilerden hangisidir?;Platon;Sokrates;Aristoteles;Epicurus;Zenon;C;Kolay
YKS;AYT;Felsefe Grubu;Sembolik Mantık;Sembolik mantıkta tümel evetleme yani "ve" ekleminin işareti aşağıdakilerden hangisidir?;Ters V sembolü;Düz V sembolü;Ok işareti;Çift yönlü ok;Değil işareti;A;Kolay
YKS;TYT;Din Kültürü ve Ahlak Bilgisi;İslam ve Bilgi;İslam inancına göre kesin, doğru ve yalan üzerine birleşmesi imkansız olan toplulukların aktardığı haberlere ne ad verilir?;Zan;Mütevatir Haber;Akait;Zarurat-ı diniyye;Esma-i hüsna;B;Orta
YKS;TYT;Din Kültürü ve Ahlak Bilgisi;İslam ve İbadet;Yüce Allah'ın kesinlikle yapılmasını emrettiği, yapılması sevap, terk edilmesi günah olan iş ve davranışlara ne ad verilir?;Farz;Vacip;Sünnet;Müstehap;Mubah;A;Kolay
YKS;TYT;Din Kültürü ve Ahlak Bilgisi;İnanç;Allah'ın birliğine inanmaya, O'na hiçbir şeyi ortak koşmamaya İslam dininde verilen isim hangisidir?;Nübüvvet;Ahiret;Tevhit;İhsan;İhlas;C;Kolay
YKS;AYT;Din Kültürü ve Ahlak Bilgisi;Ahlak ve Değerler;Hz. Muhammed'in güvenilirliği nedeniyle Mekkeliler tarafından İslamiyet öncesinde kendisine verilen unvan hangisidir?;Muhammedü'l-Emin;Ebu'l-Kasım;Hatemü'l-Enbiya;Resulullah;Habibullah;A;Kolay
YKS;AYT;Din Kültürü ve Ahlak Bilgisi;İslam Düşüncesinde Yorumlar;İslam dünyasında ameli-fıkhi yorum biçimlerinden biri olan ve İmam Ebu Hanife'nin görüşlerine dayanan mezhep hangisibi ifade eder?;Hanefi Mezhebi;Şafi Mezhebi;Maliki Mezhebi;Hanbeli Mezhebi;Caferi Mezhebi;A;Kolay
