sinav_turu;alt_sinav;ders;konu;soru_metni;a_sikki;b_sikki;c_sikki;d_sikki;e_sikki;dogru_cevap;zorluk_seviyesi
YKS;TYT;Matematik;Kümeler;A ve B iki küme olsun. s(A) = 5 , s(B) = 7 ve s(A kesişim B) = 2 ise s(A birleşim B) değeri kaçtır?;8;10;12;14;16;B;Kolay
YKS;TYT;Matematik;Sayı Basamakları;AB ve BA iki basamaklı sayılardır. AB + BA = 132 olduğuna göre A + B toplamı kaçtır?;10;11;12;13;14;C;Kolay
YKS;TYT;Türkçe;Yazım Kuralları;Aşağıdaki cümlelerin hangisinde kısaltmaların yazımı ile ilgili bir yanlışlık yapılmıştır?;TRT'den yapılan açıklamayı dinledik;TDK'nin yeni sözlüğünü aldım;THY'de yeni pilotlar işe başladı;Meb'in yeni müfredatı açıklandı;cm'yi metreye çevirmek kolaydır;D;Orta
YKS;TYT;Türkçe;Noktalama İşaretleri;Aşağıdaki cümlelerin hangisinde noktalı virgül (;) doğru kullanılmıştır?;Pazardan elma, armut; manavdan ise domates aldım;Erkek çocuklara Doğan, Tuğrul; kız çocuklara ise İnci, Çiçek adları verilir;Bugün eve erken geldim; çünkü çok yorgundum;Ahmet; yarın bizimle gelmeyeceğini söyledi;Sınavı kazanmak için; durmadan çalıştı;B;Orta
YKS;TYT;Fizik;Sıvıların Kaldırma Kuvveti;Bir cisim sıvı içinde tamamen yüzüyorsa , cisme etki eden kaldırma kuvveti cismin ağırlığına göre nasıldır?;Büyüktür;Küçüktür;Eşittir;Yarısı kadardır;Sıfırdır;C;Kolay
YKS;TYT;Kimya;Asitler ve Bazlar;Aşağıdakilerden hangisi oda sıcaklığında pH değeri 7'den büyük olan bazik bir maddedir?;Limon suyu;Sirke;Çamaşır suyu;Tuz ruhu;Saf su;C;Kolay
YKS;TYT;Biyoloji;Hücre Zarı;Hücre zarının yapısını açıklayan ve günümüzde geçerli olan model aşağıdakilerden hangisidir?;Birim zar modeli;Akıcı mozaik zar modeli;Sandviç modeli;Çift katlı yağ modeli;Çekirdek modeli;B;Kolay
YKS;TYT;Tarih;İlk Türk Devletleri;İlk Türk devletlerinde devlet işlerinin görüşüldüğü ve karara bağlandığı meclise ne ad verilir?;Kurultay;Divan;Pankuş;Şura;Meclis;A;Kolay
YKS;TYT;Coğrafya;İklim Bilgisi;Dünya üzerinde her mevsim yağışlı olan ve yıllık sıcaklık farkının en az olduğu iklim tipi hangisidir?;Akdeniz İklimi;Ekvatoral İklim;Muson İklimi;Tundra İklimi;Çöl İklimi;B;Kolay
YKS;AYT;Matematik;Türev;f(x) = 5x^2 - 3x + 4 fonksiyonunun x=1 noktasındaki türevi (f'(1)) kaçtır?;3;5;7;10;14;C;Orta
