sinav_turu;alt_sinav;ders;konu;soru_metni;a_sikki;b_sikki;c_sikki;d_sikki;e_sikki;dogru_cevap;zorluk_seviyesi
YKS;TYT;Matematik;EBOB EKOK;Aralarında asal iki sayının EBOB'u ile EKOK'unun toplamı 61'dir. Bu sayıların çarpımı kaçtır?;59;60;61;62;120;B;Kolay
YKS;TYT;Matematik;Sayı Problemleri;Hangi sayının 4 eksiğinin 3 katı , aynı sayının 2 katına eşittir?;6;8;10;12;14;D;Kolay
YKS;TYT;Türkçe;Cümlede Anlam;Aşağıdaki cümlelerin hangisinde bir "tanım" yapılmıştır?;Şiir , kelimelerle resim çizme sanatıdır;Dün akşam sabaha kadar durmadan şiir yazdı;Şiir okumak insanı bambaşka diyarlara götürür;Son kitabında oldukça ağır bir dil kullanmış;Her sanatçı kendi toplumunun aynası olmalıdır;A;Kolay
YKS;TYT;Türkçe;Yazım Kuralları;Aşağıdaki cümlelerin hangisinde "de" bağlacının yazımı ile ilgili bir hata yapılmıştır?;Gelsen de gelmesen de artık benim için fark etmez;Masanın üzerinde ki evrakları hemen bana getir;Bu sene sınavda oldukça zor sorular da vardı;Evde kalıp dinlenmek hepimize çok iyi geldi;Senin de bu konuda haklı olduğunu biliyorum;B;Kolay
YKS;TYT;Fizik;Sıvıların Kaldırma Kuvveti;Sıvı içinde tamamen batan bir cismin hacmi artırılırsa , cisme etki eden kaldırma kuvveti nasıl değişir?;Artar;Azalır;Sabit kalır;Önce artar sonra azalır;Sıfır olur;A;Kolay
YKS;TYT;Kimya;Periyodik Sistem;Periyodik cetvelde soldan sağa doğru gidildikçe genellikle aşağıdakilerden hangisinin artması beklenir?;Atom yarıçapı;Metalik özellik;Elektronegatiflik;Katman sayısı;Elektron verme eğilimi;C;Orta
YKS;TYT;Biyoloji;Hücre Çeperi;Aşağıdaki canlı gruplarından hangisinin hücrelerinde selüloz yapılı bir hücre çeperi bulunur?;Bakteriler;Mantarlar;Bitkiler;Hayvanlar;Arkeler;C;Kolay
YKS;TYT;Tarih;Osmanlı Duraklama Dönemi;Osmanlı Devleti'nin Batı'da en geniş sınırlara ulaştığı antlaşma aşağıdakilerden hangisidir?;Bucaş Antlaşması;Karlofça Antlaşması;İstanbul Antlaşması;Zitvatorok Antlaşması;Pasarofça Antlaşması;A;Kolay
YKS;TYT;Coğrafya;Dış Kuvvetler;Aşağıdakilerden hangisi rüzgârların aşındırma faaliyetleri sonucunda oluşan yer şekillerinden biridir?;Mantar kaya;Barkan;Morfe;Tombolo;Falez;A;Kolay
YKS;AYT;Matematik;Kombinasyon;7 elemanlı bir kümenin 2 elemanlı kombinasyonlarının sayısı kaçtır?;14;21;35;42;49;B;Kolay
YKS;AYT;Matematik;Trigonometri;tan(x) ile cot(x) ifadelerinin çarpımı (tan(x) * cot(x)) her zaman kaça eşittir?;0;1;-1;sin(x);cos(x);B;Kolay
YKS;AYT;Matematik;Geometri;Analitik düzlemde A(1, 2) noktasının orijine olan uzaklığı kaç birimdir?;3;4;Kök 5;5;Kök 3;C;Kolay
YKS;AYT;Matematik;Geometri;Bir küpün bir kenar uzunluğu 3 cm ise bu küpün toplam hacmi kaç santimetreküptür?;9;18;27;36;54;C;Kolay
YKS;AYT;Fizik;Atom Modelleri;Elektronların çekirdek çevresinde belirli dairesel yörüngelerde bulunduğunu savunan atom modeli hangisidir?;Dalton;Thomson;Rutherford;Bohr;Modern Atom Modeli;D;Kolay
YKS;AYT;Fizik;Radyoaktivite;Kararsız çekirdeklerin alfa , beta veya gama ışımaları yaparak daha kararlı hale geçmesi olayına ne ad verilir?;Elektroliz;Radyoaktivite;Fotoelektrik;Kırınım;Girişim;B;Kolay
YKS;AYT;Kimya;Kimyasal Tepkimelerde Enerji;Dışarıdan ısı alarak gerçekleşen kimyasal veya fiziksel tepkimelere ne ad verilir?;Egzotermik;Endotermik;Katalitik;Dinamik;Spontan;B;Kolay
YKS;AYT;Kimya;Organik Kimya;Karbon atomları arasında en az bir tane ikili bağ içeren doymamış hidrokarbonlara ne ad verilir?;Alkanlar;Alkenler;Alkinler;Aromatikler;Alkoller;B;Kolay
