sinav_turu;alt_sinav;ders;konu;soru_metni;a_sikki;b_sikki;c_sikki;d_sikki;e_sikki;dogru_cevap;zorluk_seviyesi
YKS;TYT;Matematik;Sayı Kümeleri;Her rasyonel sayı aynı zamanda aşağıdakilerden hangisinin bir elemanıdır?;Doğal sayılar;Tam sayılar;Karmaşık sayılar;Gerçek (Reel) sayılar;İrrasyonel sayılar;D;Kolay
YKS;TYT;Matematik;Üslü Sayılar;2^(x+1) = 16 olduğuna göre x değeri kaçtır?;2;3;4;5;6;B;Kolay
YKS;TYT;Türkçe;Cümlede Anlam;Aşağıdaki cümlelerin hangisinde "öz eleştiri" yapılmıştır?;Yazarın son kitabını hiç beğenmedim;Zamanı doğru kullansaydım bu projeyi yetiştirebilirdim;Ders çalışırken müzik dinlemek dikkatimi dağıtıyor;Onun bu kadar bencilce davranacağını hiç tahmin etmezdim;Yarınki sınava çok iyi hazırlandığımı düşünüyorum;B;Kolay
YKS;TYT;Türkçe;Yazım Kuralları;Aşağıdaki cümlelerin hangisinde altı çizili sözcüğün yazımı yanlıştır?;Her şeyin bir zamanı olduğunu bilmelisin;Bugün ardarda gelen aksilikler beni çok yordu;Hiçbir zaman umudunu kaybetmemelisin;Birkaç gün sonra her şey yoluna girecektir;Birçok insan bu konuda maalesef yanılıyor;B;Orta
YKS;TYT;Fizik;Katı Basıncı;Aşağıdaki durumlardan hangisi katı basıncını azaltmaya yönelik bir uygulamadır?;Kışın tekerleklere zincir takılması;Futbolcuların krampon kullanması;Raptiyelerin ucunun sivri yapılması;Kamyonların tekerlek sayısının artırılması;Bıçakların bilenmesi;D;Kolay
YKS;TYT;Kimya;Kimyasal Değişim;Aşağıdakilerden hangisi kimyasal bir değişime örnek gösterilemez?;Demirin paslanması;Sütün ekşimesi;Suyun buharlaşması;Kağıdın yanması;Yaprağın sararması;C;Kolay
YKS;TYT;Biyoloji;Hücre Organelleri;Hücre içi sindirimden sorumlu olan ve içinde hidrolitik enzimler barındıran organel hangisidir?;Lizozom;Ribozom;Mitokondri;Golgi aygıtı;Sentrozom;A;Kolay
YKS;TYT;Tarih;Milli Mücadele Dönemi;Mustafa Kemal Paşa'nın sivil olarak katıldığı ilk kongre aşağıdakilerden hangisidir?;Amasya Genelgesi;Erzurum Kongresi;Sivas Kongresi;Havza Genelgesi;Pozantı Kongresi;B;Orta
YKS;TYT;Coğrafya;Dünya'nın Hareketleri;Dünya'nın Güneş etrafındaki yörüngesinin elips olmasının sonuçlarından biri hangisidir?;Gece ve gündüzün birbirini takip etmesi;Yerel saat farklarının oluşması;Eylül ekinoksunun 2 gün gecikmeyle 23 Eylül'de gerçekleşmesi;Mevsimlerin oluşması;Sürekli rüzgarların yönlerinde sapma olması;C;Orta
YKS;AYT;Matematik;Diziler;Toplam sembolü k=1'den 5'e kadar (2k-1) ifadesinin sonucu kaçtır?;9;16;25;36;45;C;Orta
YKS;AYT;Matematik;Karmaşık Sayılar;z = 1 + i karmaşık sayısının sanal (imajiner) kısmı kaçtır?;0;1;i;-1;-i;B;Kolay
YKS;AYT;Matematik;Trigonometri;Aşağıdakilerden hangisi cos(180) ifadesinin değerine eşittir?;0;1;-1;1/2;-1/2;C;Kolay
YKS;AYT;Matematik;Geometri;Bir üçgende iç açıortayların kesim noktası aşağıdakilerden hangisidir?;İç teğet çemberinin merkezi;Çevrel çemberinin merkezi;Ağırlık merkezi;Diklik merkezi;Dış teğet çemberinin merkezi;A;Orta
YKS;AYT;Fizik;Momentum;Bir cismin kütlesi ile hızının çarpımına fizik biliminde ne ad verilir?;Tork;Kuvvet;Çizgisel Momentum;İş;Güç;C;Kolay
YKS;AYT;Fizik;Dalga Mekaniği;Işığın engellerin köşelerinden geçerken bükülerek kırınım desenleri oluşturması olayına ne ad verilir?;Girişim;Kırınım;Yansıma;Kırılma;Polarizasyon;B;Kolay
YKS;AYT;Kimya;Gazlar;Sabit hacimli bir kapta bulunan ideal bir gazın sıcaklığı (Kelvin cinsinden) 2 katına çıkarılırsa basıncı nasıl değişir?;Yarıya düşer;Değişmez;2 katına çıkar;4 katına çıkar;Değişimi sıcaklığa bağlı değildir;C;Kolay
YKS;AYT;Kimya;Çözeltiler;Çözeltilerin derişimlerine bağlı olarak değişen özelliklerine (Örn: Donma noktası alçalması) ne ad verilir?;Kolligatif özellikler;Fiziksel özellikler;Termodinamik özellikler;Kimyasal özellikler;Çözünürlük özellikleri;A;Kolay
YKS;AYT;Biyoloji;Solunum Sistemi;İnsanda hücresel solunum reaksiyonları sonucunda oluşan karbondioksit (CO2) kan yoluyla en çok hangi biçimde taşınır?;Plazmada çözünmüş olarak;Hemoglobini bağlayarak (Karbaminohemoglobin);Bikarbonat iyonları (HCO3-) şeklinde;Gaz kabarcıkları halinde;Alvellerde serbest olarak;C;Orta
YKS;AYT;Biyoloji;Destek ve Hareket Sistemi;Çizgili kasların kasılması sırasında aşağıdakilerden hangisinin miktarında azalma görülmesi beklenir?;Kreatin fosfat;Laktik asit;ADP;Karbondioksit;İnorganik fosfat;A;Orta
