sinav_turu;alt_sinav;ders;konu;soru_metni;a_sikki;b_sikki;c_sikki;d_sikki;e_sikki;dogru_cevap;zorluk_seviyesi
YKS;TYT;Matematik;Oran Orantı;a/b = 2/3 ve b/c = 4/5 olduğuna göre a/c oranı kaçtır?;2/5;4/5;8/15;6/5;3/4;C;Kolay
YKS;TYT;Matematik;Rasyonel Sayılar;0,3ü devreden (0,333...) sayısının rasyonel sayı olarak karşılığı hangisidir?;1/2;1/3;1/4;3/10;3/100;B;Kolay
YKS;TYT;Türkçe;Paragraf;Bir paragrafta yazarın asıl anlatmak istediği, okuyucuya ilettiği temel mesaj hangisidir?;Ana düşünce;Yardımcı düşünce;Paragrafın konusu;Giriş cümlesi;Sonuç cümlesi;A;Kolay
YKS;TYT;Türkçe;Ses Bilgisi;"Sıcaktan bunalan çocuk, elindeki soğuk suyu bir dikişte bitirdi." cümlesinde hangi ses olayı vardır?;Ünsüz benzeşmesi (sertleşme);Ünlü düşmesi;Ünsüz türemesi;Ünlü daralması;Ünsüz düşmesi;A;Kolay
YKS;TYT;Fizik;Elektrostatik;Aynı cins elektrik yüküyle yüklü (Örn: ikisi de pozitif) iki cisim birbirine nasıl bir kuvvet uygular?;Birbirini çeker;Birbirini iter;Kuvvet uygulamaz;Önce çeker sonra iter;Nötrler;B;Kolay
YKS;TYT;Kimya;Kimyasal Türler;Aşağıdakilerden hangisi kimyasal bir tür olan "molekül" sınıfına örnek gösterilebilir?;Na;Fe;H2O;Cl-;He;C;Kolay
YKS;TYT;Biyoloji;Enzimler;Biyolojik kataloglar olan enzimlerin yapısına katılan ve onların temel fonksiyonunu belirleyen organik madde hangisidir?;Vitamin;Karbonhidrat;Lipit (Yağ);Protein;Nükleik asit;D;Kolay
YKS;TYT;Tarih;XX. Yüzyıl Başlarında Osmanlı;Osmanlı Devleti'nin Kuzey Afrika'daki son toprak parçasını kaybettiği savaş aşağıdakilerden hangisidir?;Trablusgarp Savaşı;I. Balkan Savaşı;II. Balkan Savaşı;I. Dünya Savaşı;Kırım Savaşı;A;Kolay
YKS;TYT;Coğrafya;Doğal Afetler;Türkiye'de genç oluşumlu dağlık arazilerin ve eğimli yamaçların fazla olması nedeniyle en sık görülen kütle hareketi hangisidir?;Erezyon;Heyelan (Toprak kayması);Deprem;Çığ;Volkanizma;B;Kolay
YKS;AYT;Matematik;Logaritma;log_3(x) = 2 olduğuna göre x değeri aşağıdakilerden hangisine eşittir?;3;6;8;9;27;D;Kolay
