sinav_turu;alt_sinav;ders;konu;soru_metni;a_sikki;b_sikki;c_sikki;d_sikki;e_sikki;dogru_cevap;zorluk_seviyesi
YKS;TYT;Matematik;Fonksiyonlar;f(x) = 2x + 3 ve g(x) = x - 1 olduğuna göre (fog)(3) değeri kaçtır?;5;7;9;11;13;B;Kolay
YKS;TYT;Matematik;Veri;5, 5, 7, 8, 10, 10, 10 veri grubunun modu (en çok tekrar edeni) kaçtır?;5;7;8;10;15;D;Kolay
YKS;TYT;Türkçe;Cümle Türleri;Aşağıdaki cümlelerin hangisi yükleminin türüne göre diğerlerinden farklı bir cümledir?;Bugün hava gerçekten çok güzeldi;Dün akşam arayan senin kardeşindi;Onun en büyük hayali öğretmen olmaktır;Sınav sonuçlarını öğrenince hemen eve koştu;Masanın üzerindeki kitap eskidir;D;Orta
YKS;TYT;Türkçe;Yazım Kuralları;Aşağıdaki cümlelerin hangisinde "ki"nin yazımı ile ilgili bir yanlışlık yapılmıştır?;Mademki gelmeyecektin neden haber vermedin;Duydum ki unutmuşsun gözlerimin rengini;Bahçedeki çiçekleri sabah erkenden suladım;Sen ki her zaman bana destek olan birisin;Akşamki maçı izlemek için sabırsızlanıyorum;A;Orta
YKS;TYT;Fizik;Isı ve Sıcaklık;Isı alan bir saf katı maddenin hal değiştirirken sıcaklığı nasıl değişir?;Artar;Azalır;Sabit kalır;Önce artar sonra azalır;Sıfır olur;C;Kolay
YKS;TYT;Kimya;Mol Kavramı;1 mol Karbon (C) atomu yaklaşık olarak kaç tane atom içerir (Avogadro Sayısı)?;3,01x10^23;6,02x10^23;1,2x10^24;6,02x10^22;1 mol;B;Kolay
YKS;TYT;Biyoloji;Hücre Bölünmeleri;Mitoz bölünme sonucunda oluşan hücrelerin hangi özelliği ana hücreyle kesinlikle aynıdır?;Hücre hacmi;Organel sayısı;Sitoplazma miktarı;Kromozom sayısı ve genetik yapısı;Sentrozom yapısı;D;Kolay
YKS;TYT;Tarih;Osmanlı Kuruluş Dönemi;Osmanlı Devleti'nde Rumeli'de fethedilen topraklara Anadolu'dan getirilen Türkmenlerin yerleştirilmesi siyasetine ne ad verilir?;İstimalet;Devşirme;İskan;Müsadere;Tımar;C;Kolay
YKS;TYT;Coğrafya;Harita Bilgisi;Haritalardaki küçültme oranına ne ad verilir?;Ölçek;Lejant;Projeksiyon;Koordinat;İzohips;A;Kolay
YKS;AYT;Matematik;Trigonometri;sin^2(x) + cos^2(x) ifadesinin eşiti aşağıdakilerden hangisidir?;0;1;tan(x);cot(x);2;B;Kolay
YKS;AYT;Matematik;Matris ve Determinant;Tüm elemanları sıfır olan matrise ne ad verilir?;Birim matris;Köşegen matris;Kare matris;Sıfır matris;Transpoz matris;D;Kolay
YKS;AYT;Matematik;Geometri;Bir dik üçgende dik kenarların uzunlukları 6 cm ve 8 cm ise hipotenüs uzunluğu kaç cm'dir?;10;12;14;16;20;A;Kolay
YKS;AYT;Fizik;Modern Fizik;Işık hızına yakın hızlarda hareket eden bir gözlemci için zamanın daha yavaş akması durumuna ne ad verilir?;Zaman genişlemesi;Boy büzülmesi;Kütle artışı;Doppler etkisi;Fotoelektrik olay;A;Orta
